Pathway,Superclass,Class,Popolazione
Terpenoids,Meroterpenoids,Bisnaphthalenes,1
Terpenoids,Fatty acyl glycosides,Megastigmanes,1
Terpenoids,Naphthalenes,Bisnaphthalenes,1
Terpenoids,Naphthalenes,Other polyketide meroterpenoids,1
Terpenoids,Apocarotenoids,"Carotenoids (C40, ε-Ψ)",1
Terpenoids,Carotenoids (C40),Apocarotenoids(ε-),1
Terpenoids,Apocarotenoids,Stigmastane steroids,1
Polyketides,Chromanes,Flavonolignans,1
Polyketides,Flavonoids,Azaphilones,1
Polyketides,Flavonoids,Flavonolignans,1
Polyketides,Lignans,Azaphilones,1
Polyketides,Lignans,Flavonolignans,1
Terpenoids,Phloroglucinols,Bicyclogermacrane sesquiterpenoids,1
Polyketides,Phloroglucinols,Flavanones,1
Shikimates and Phenylpropanoids,Phloroglucinols,Flavanones,1
Polyketides,Phloroglucinols,Aristolane sesquiterpenoids,1
Terpenoids,Apocarotenoids,"Carotenoids (C45, Ψ-Ψ)",1
Terpenoids,Carotenoids (C45),Miscellaneous apocarotenoids,1
Terpenoids,Carotenoids (C40),"Apocarotenoids (C30, Ψ-Ψ)",1
Polyketides,Sesquiterpenoids,Dimeric phloroglucinols,1
Terpenoids,Phloroglucinols,Aristolane sesquiterpenoids,1
Terpenoids,Phloroglucinols,Dimeric phloroglucinols,1
Terpenoids,Sesquiterpenoids,Dimeric phloroglucinols,1
Polyketides,Phloroglucinols,Pachydictyane diterpenoids,1
Polyketides,Sesquiterpenoids,Aristolane sesquiterpenoids,1
Polyketides,Diterpenoids,Furanoabietane diterpenoids,1
Polyketides,Naphthalenes,Furanoabietane diterpenoids,1
Terpenoids,Naphthalenes,Furanoabietane diterpenoids,1
Amino acids and Peptides,Oligopeptides,Polyamines,1
Amino acids and Peptides,Ornithine alkaloids,Aeruginosins,1
Amino acids and Peptides,Ornithine alkaloids,Linear peptides,1
Alkaloids,Meroterpenoids,Meromonoterpenoids,1
Alkaloids,Nicotinic acid alkaloids,Meromonoterpenoids,1
Terpenoids,Nicotinic acid alkaloids,Meromonoterpenoids,1
Terpenoids,Phloroglucinols,Eudesmane sesquiterpenoids,1
Terpenoids,Phloroglucinols,Prenyleudesmane diterpenoids,1
Terpenoids,Sesquiterpenoids,Prenyleudesmane diterpenoids,1
Polyketides,Diterpenoids,Pachydictyane diterpenoids,1
Terpenoids,Phloroglucinols,Pachydictyane diterpenoids,1
Polyketides,Phloroglucinols,Iphionane sesquiterpenoids,1
Polyketides,Sesquiterpenoids,Iphionane sesquiterpenoids,1
Terpenoids,Phloroglucinols,Iphionane sesquiterpenoids,1
Polyketides,Phloroglucinols,Bicyclogermacrane sesquiterpenoids,1
Polyketides,Sesquiterpenoids,Bicyclogermacrane sesquiterpenoids,1
Polyketides,Diterpenoids,Eudesmane sesquiterpenoids,1
Polyketides,Diterpenoids,Prenyleudesmane diterpenoids,1
Polyketides,Phloroglucinols,Eudesmane sesquiterpenoids,1
Polyketides,Phloroglucinols,Prenyleudesmane diterpenoids,1
Polyketides,Sesquiterpenoids,Eudesmane sesquiterpenoids,1
Polyketides,Sesquiterpenoids,Prenyleudesmane diterpenoids,1
Alkaloids,Meroterpenoids,Carbazole alkaloids,1
Alkaloids,Meroterpenoids,Miscellaneous meroterpenoids,1
Alkaloids,Tryptophan alkaloids,Miscellaneous meroterpenoids,1
Terpenoids,Meroterpenoids,Carbazole alkaloids,1
Terpenoids,Tryptophan alkaloids,Carbazole alkaloids,1
Terpenoids,Tryptophan alkaloids,Miscellaneous meroterpenoids,1
Alkaloids,Oligopeptides,Aeruginosins,1
Alkaloids,Oligopeptides,Polyamines,1
Alkaloids,Ornithine alkaloids,Aeruginosins,1
Alkaloids,Ornithine alkaloids,Linear peptides,1
Polyketides,Phloroglucinols,Isocoumarins,1
Shikimates and Phenylpropanoids,Phloroglucinols,Isocoumarins,1
Polyketides,Phloroglucinols,Pyranocoumarins,1
Polyketides,Phloroglucinols,Simple coumarins,1
Shikimates and Phenylpropanoids,Phloroglucinols,Pyranocoumarins,1
Shikimates and Phenylpropanoids,Phloroglucinols,Simple coumarins,1
Shikimates and Phenylpropanoids,Meroterpenoids,Chalcones,1
Alkaloids,Ornithine alkaloids,Acetate-derived alkaloids,1
Alkaloids,Ornithine alkaloids,Polysaccharides,1
Alkaloids,Saccharides,Polyamines,1
Alkaloids,Saccharides,Polysaccharides,1
Carbohydrates,Ornithine alkaloids,Polyamines,1
Carbohydrates,Ornithine alkaloids,Polysaccharides,1
Carbohydrates,Saccharides,Polyamines,1
Alkaloids,Lysine alkaloids,Pyrrolidine alkaloids,1
Alkaloids,Ornithine alkaloids,Piperidine alkaloids,1
Shikimates and Phenylpropanoids,Flavonoids,Cannabinoids,1
Shikimates and Phenylpropanoids,Meroterpenoids,Cannabinoids,1
Alkaloids,Ornithine alkaloids,Imidazole alkaloids,1
Alkaloids,Ornithine alkaloids,Salinosporamides,1
Alkaloids,γ-lactam-β-lactones,Pyrrolizidine alkaloids,1
Alkaloids,γ-lactam-β-lactones,Salinosporamides,1
Amino acids and Peptides,Ornithine alkaloids,Pyrrolizidine alkaloids,1
Amino acids and Peptides,Ornithine alkaloids,Salinosporamides,1
Amino acids and Peptides,γ-lactam-β-lactones,Pyrrolizidine alkaloids,1
Amino acids and Peptides,Ornithine alkaloids,Polyamines,1
Terpenoids,Flavonoids,Cannabinoids,1
Terpenoids,Meroterpenoids,Chalcones,1
Alkaloids,Polycyclic aromatic polyketides,Angucyclines,1
Alkaloids,Pseudoalkaloids (transamidation),Angucyclines,1
Polyketides,Pseudoalkaloids (transamidation),Angucyclines,1
Polyketides,Nicotinic acid alkaloids,Phthalide derivatives,1
Polyketides,Sesquiterpenoids,Isolactarane sesquiterpenoids,1
Polyketides,Sesquiterpenoids,Phthalide derivatives,1
Terpenoids,Cyclic polyketides,Isolactarane sesquiterpenoids,1
Terpenoids,Cyclic polyketides,Phthalide derivatives,1
Terpenoids,Sesquiterpenoids,Phthalide derivatives,1
Polyketides,Chromanes,Phthalide derivatives,1
Polyketides,Cyclic polyketides,Azaphilones,1
Alkaloids,Nicotinic acid alkaloids,Phthalide derivatives,1
Polyketides,Chromanes,Flavones,1
Alkaloids,Anthranilic acid alkaloids,Quinolizidine alkaloids,1
Alkaloids,Lysine alkaloids,Acridone alkaloids,1
Alkaloids,Histidine alkaloids,Pyrrolizidine alkaloids,1
Polyketides,Aromatic polyketides,Phthalide derivatives,1
Polyketides,Cyclic polyketides,Aromatic polyketides with side chains,1
Polyketides,Flavonoids,Cannabinoids,1
Polyketides,Meroterpenoids,Chalcones,1
Polyketides,Chromanes,Secoiridoid monoterpenoids,1
Polyketides,Monoterpenoids,Chromones,1
Polyketides,Monoterpenoids,Secoiridoid monoterpenoids,1
Terpenoids,Chromanes,Chromones,1
Terpenoids,Chromanes,Secoiridoid monoterpenoids,1
Terpenoids,Monoterpenoids,Chromones,1
Polyketides,Chromanes,Chalcones,1
Shikimates and Phenylpropanoids,Chromanes,Chalcones,1
Alkaloids,Anthranilic acid alkaloids,Pyridine alkaloids,1
Alkaloids,Nicotinic acid alkaloids,Quinazoline alkaloids,1
Polyketides,Flavonoids,Flavones,1
Shikimates and Phenylpropanoids,Chromanes,Flavones,1
Alkaloids,Spingolipids,Quinolizidine alkaloids,1
Fatty acids,Lysine alkaloids,Quinolizidine alkaloids,1
Fatty acids,Spingolipids,Quinolizidine alkaloids,1
Polyketides,Cyclic polyketides,Isolactarane sesquiterpenoids,1
Polyketides,Chromanes,Flavanones,1
Shikimates and Phenylpropanoids,Chromanes,Flavanones,1
Polyketides,Chromanes,Pyranocoumarins,1
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Anthraquinones and anthrones,1
Fatty acids,Fatty Acids and Conjugates,Sphingoid bases,1
Fatty acids,Spingolipids,Oxo fatty acids,1
Fatty acids,Octadecanoids,Oxo fatty acids,1
Fatty acids,Fatty Acids and Conjugates,Homofarnesane sesquiterpenoids,1
Fatty acids,Sesquiterpenoids,Epoxy fatty acids,1
Fatty acids,Sesquiterpenoids,Homofarnesane sesquiterpenoids,1
Terpenoids,Fatty Acids and Conjugates,Epoxy fatty acids,1
Terpenoids,Fatty Acids and Conjugates,Homofarnesane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,Epoxy fatty acids,1
Alkaloids,Small peptides,Phenylethylamines,1
Alkaloids,Tyrosine alkaloids,Aminoacids,1
Shikimates and Phenylpropanoids,Chromanes,Pyranocoumarins,1
Amino acids and Peptides,Macrolides,Erythromycins,1
Shikimates and Phenylpropanoids,Polycyclic aromatic polyketides,Simple phenolic acids,1
Amino acids and Peptides,Tyrosine alkaloids,Aminoacids,1
Amino acids and Peptides,Tyrosine alkaloids,Phenylethylamines,1
Alkaloids,Pseudoalkaloids (transamidation),Hasubanan alkaloids,1
Alkaloids,Tyrosine alkaloids,Terpenoid alkaloids,1
Terpenoids,Pseudoalkaloids (transamidation),Hasubanan alkaloids,1
Terpenoids,Tyrosine alkaloids,Hasubanan alkaloids,1
Terpenoids,Tyrosine alkaloids,Terpenoid alkaloids,1
Alkaloids,Tryptophan alkaloids,Aporphine alkaloids,1
Alkaloids,Tyrosine alkaloids,Aspidosperma type,1
Polyketides,Chromanes,Coumaronochromones,1
Polyketides,Isoflavonoids,Chromones,1
Polyketides,Isoflavonoids,Coumaronochromones,1
Shikimates and Phenylpropanoids,Chromanes,Coumaronochromones,1
Shikimates and Phenylpropanoids,Isoflavonoids,Chromones,1
Polyketides,Flavonoids,Anthocyanidins,1
Polyketides,Polycyclic aromatic polyketides,Anthocyanidins,1
Shikimates and Phenylpropanoids,Polycyclic aromatic polyketides,Anthocyanidins,1
Terpenoids,Coumarins,Polyprenylated cyclic polyketides (Hop meroterpenoids),1
Alkaloids,Tyrosine alkaloids,Iboga type,1
Alkaloids,Tryptophan alkaloids,Quinazoline alkaloids,1
Amino acids and Peptides,Small peptides,Phenylethylamines,1
Polyketides,Phenolic acids (C6-C1),Anthraquinones and anthrones,1
Polyketides,Polycyclic aromatic polyketides,Simple phenolic acids,1
Fatty acids,Linear polyketides,Paraconic acids and derivatives,1
Polyketides,Fatty acyls,Paraconic acids and derivatives,1
Polyketides,Linear polyketides,Paraconic acids and derivatives,1
Polyketides,Linear polyketides,Erythromycins,1
Polyketides,Macrolides,Open-chain polyketides,1
Amino acids and Peptides,Cyclic polyketides,Erythromycins,1
Amino acids and Peptides,Macrolides,3-Spirotetramic acids,1
Shikimates and Phenylpropanoids,Meroterpenoids,Isocoumarins,1
Shikimates and Phenylpropanoids,Meroterpenoids,Polyprenylated cyclic polyketides (Hop meroterpenoids),1
Terpenoids,Coumarins,Isocoumarins,1
Polyketides,Cyclic polyketides,Erythromycins,1
Alkaloids,Peptide alkaloids,Quinoline alkaloids,1
Fatty acids,Eicosanoids,Hydroxy fatty acids,1
Fatty acids,Fatty Acids and Conjugates,Hydroxy-hydroperoxyeicosatrienoic acids,1
Fatty acids,Fatty acyls,Hydroxy fatty acids,1
Alkaloids,Tryptophan alkaloids,Amarylidaceae alkaloids,1
Terpenoids,Meroterpenoids,Isocoumarins,1
Polyketides,Aromatic polyketides,Isocoumarins,1
Polyketides,Coumarins,Depsides and depsidones,1
Shikimates and Phenylpropanoids,Aromatic polyketides,Isocoumarins,1
Shikimates and Phenylpropanoids,Coumarins,Depsides and depsidones,1
Polyketides,Alkylresorsinols,Catechols with side chains,1
Polyketides,Aromatic polyketides,Monoalkylresorcinols,1
Amino acids and Peptides,Anthranilic acid alkaloids,Pyrazine and Piperazine alkaloids,1
Amino acids and Peptides,Anthranilic acid alkaloids,Quinoline alkaloids,1
Amino acids and Peptides,Peptide alkaloids,Quinoline alkaloids,1
Amino acids and Peptides,Tryptophan alkaloids,Quinoline alkaloids,1
Alkaloids,Anthranilic acid alkaloids,Aminoacids,1
Alkaloids,Small peptides,Anthranillic acid derivatives,1
Amino acids and Peptides,Anthranilic acid alkaloids,Aminoacids,1
Amino acids and Peptides,Anthranilic acid alkaloids,Anthranillic acid derivatives,1
Amino acids and Peptides,Small peptides,Anthranillic acid derivatives,1
Alkaloids,Polyols,Quinazoline alkaloids,1
Alkaloids,Anthranilic acid alkaloids,Pyrazine and Piperazine alkaloids,1
Polyketides,Meroterpenoids,Acyl phloroglucinols,1
Terpenoids,Meroterpenoids,Acyl phloroglucinols,1
Polyketides,Coumarins,Polyprenylated cyclic polyketides (Hop meroterpenoids),1
Polyketides,Meroterpenoids,Isocoumarins,1
Shikimates and Phenylpropanoids,Coumarins,Polyprenylated cyclic polyketides (Hop meroterpenoids),1
Terpenoids,Macrolides,Erythromycins,1
Terpenoids,Triterpenoids,Erythromycins,1
Carbohydrates,Anthranilic acid alkaloids,Quinazoline alkaloids,1
Carbohydrates,Polyols,Quinazoline alkaloids,1
Alkaloids,Anthranilic acid alkaloids,Depsipeptides,1
Alkaloids,Oligopeptides,Depsipeptides,1
Alkaloids,Oligopeptides,Quinazoline alkaloids,1
Amino acids and Peptides,Anthranilic acid alkaloids,Depsipeptides,1
Amino acids and Peptides,Anthranilic acid alkaloids,Quinazoline alkaloids,1
Amino acids and Peptides,Oligopeptides,Quinazoline alkaloids,1
Polyketides,Anthranilic acid alkaloids,Depsipeptides,1
Polyketides,Anthranilic acid alkaloids,Quinazoline alkaloids,1
Polyketides,Oligopeptides,Quinazoline alkaloids,1
Alkaloids,Polyols,Phenoxazine alkaloids,1
Carbohydrates,Anthranilic acid alkaloids,Phenoxazine alkaloids,1
Carbohydrates,Polyols,Phenoxazine alkaloids,1
Terpenoids,Cyclic polyketides,Monacolins and Monacolin derivatives,1
Terpenoids,Cyclic polyketides,Polyprenylated cyclic polyketides (Hop meroterpenoids),1
Terpenoids,Meroterpenoids,Monacolins and Monacolin derivatives,1
Polyketides,Cyclic polyketides,Acyclic monoterpenoids,1
Alkaloids,Anthranilic acid alkaloids,Other indole diketopiperazine alkaloids,1
Alkaloids,Peptide alkaloids,Benzodiazepine alkaloids,1
Amino acids and Peptides,Anthranilic acid alkaloids,Benzodiazepine alkaloids,1
Amino acids and Peptides,Anthranilic acid alkaloids,Other indole diketopiperazine alkaloids,1
Amino acids and Peptides,Peptide alkaloids,Benzodiazepine alkaloids,1
Alkaloids,Histidine alkaloids,Other indole diketopiperazine alkaloids,1
Amino acids and Peptides,Histidine alkaloids,Other indole diketopiperazine alkaloids,1
Polyketides,Macrolides,3-Spirotetramic acids,1
Polyketides,Macrolides,Cycloartane triterpenoids,1
Polyketides,Triterpenoids,Cycloartane triterpenoids,1
Polyketides,Triterpenoids,Erythromycins,1
Terpenoids,Macrolides,Cycloartane triterpenoids,1
Terpenoids,Steroids,Ascomycins and Rapamycins,1
Alkaloids,Histidine alkaloids,Cytochalasan alkaloids,1
Alkaloids,Pseudoalkaloids (transamidation),Imidazole alkaloids,1
Amino acids and Peptides,Linear polyketides,Depsipeptides,1
Amino acids and Peptides,Linear polyketides,Linear polyenes,1
Amino acids and Peptides,Oligopeptides,Linear polyenes,1
Polyketides,Linear polyketides,Depsipeptides,1
Polyketides,Oligopeptides,Linear polyenes,1
Shikimates and Phenylpropanoids,Linear polyketides,Isocoumarins,1
Polyketides,Monoterpenoids,2-pyrone derivatives,1
Polyketides,Monoterpenoids,Acyclic monoterpenoids,1
Terpenoids,Cyclic polyketides,2-pyrone derivatives,1
Terpenoids,Cyclic polyketides,Acyclic monoterpenoids,1
Terpenoids,Monoterpenoids,2-pyrone derivatives,1
Polyketides,Cyclic polyketides,Polyprenylated cyclic polyketides (Hop meroterpenoids),1
Polyketides,Meroterpenoids,Monacolins and Monacolin derivatives,1
Polyketides,Diterpenoids,Parguerane diterpenoids,1
Polyketides,Linear polyketides,Parguerane diterpenoids,1
Terpenoids,Diterpenoids,Open-chain polyketides,1
Terpenoids,Linear polyketides,Open-chain polyketides,1
Terpenoids,Linear polyketides,Parguerane diterpenoids,1
Polyketides,Coumarins,Open-chain polyketides,1
Polyketides,Linear polyketides,Isocoumarins,1
Shikimates and Phenylpropanoids,Coumarins,Open-chain polyketides,1
Polyketides,Linear polyketides,Piperidine alkaloids,1
Shikimates and Phenylpropanoids,Linear polyketides,Open-chain polyketides,1
Amino acids and Peptides,Macrolides,Polyene macrolides,1
Polyketides,Macrolides,Androstane steroids,1
Polyketides,Steroids,Androstane steroids,1
Polyketides,Steroids,Ascomycins and Rapamycins,1
Terpenoids,Macrolides,Androstane steroids,1
Terpenoids,Macrolides,Ascomycins and Rapamycins,1
Polyketides,Polyethers,Linear tetronates,1
Alkaloids,Linear polyketides,Piperidine alkaloids,1
Alkaloids,Lysine alkaloids,Open-chain polyketides,1
Fatty acids,Phenylethanoids (C6-C2),Phenylethanoids,1
Fatty acids,Phenylethanoids (C6-C2),Unsaturated fatty acids,1
Shikimates and Phenylpropanoids,Fatty Acids and Conjugates,Phenylethanoids,1
Shikimates and Phenylpropanoids,Fatty Acids and Conjugates,Unsaturated fatty acids,1
Shikimates and Phenylpropanoids,Phenylethanoids (C6-C2),Unsaturated fatty acids,1
Fatty acids,Sesquiterpenoids,Unsaturated fatty acids,1
Terpenoids,Sesquiterpenoids,Unsaturated fatty acids,1
Polyketides,Lysine alkaloids,Open-chain polyketides,1
Polyketides,Lysine alkaloids,Piperidine alkaloids,1
Alkaloids,Nicotinic acid alkaloids,Open-chain polyketides,1
Carbohydrates,Macrolides,Aminosugars,1
Polyketides,Nicotinic acid alkaloids,Open-chain polyketides,1
Polyketides,Diterpenoids,Open-chain polyketides,1
Amino acids and Peptides,Nucleosides,Aminoacids,1
Terpenoids,Monoterpenoids,Unsaturated fatty acids,1
Fatty acids,Fatty Acids and Conjugates,Hydroxy-hydroperoxyeicosatetraenoic acids,1
Fatty acids,Fatty Acids and Conjugates,Phenylethanoids,1
Amino acids and Peptides,Small peptides,Clavams,1
Amino acids and Peptides,β-lactams,Aminoacids,1
Carbohydrates,Nucleosides,Aminosugars,1
Fatty acids,Sesquiterpenoids,Branched fatty acids,1
Carbohydrates,Aminosugars and aminoglycosides,Purine nucleotides,1
Carbohydrates,Nucleosides,Amino cyclitols,1
Carbohydrates,Nucleosides,Aminoglycosides,1
Carbohydrates,Polyols,Purine nucleotides,1
Carbohydrates,Aminosugars and aminoglycosides,Pyrimidine nucleosides,1
Carbohydrates,Macrolides,Enediynes,1
Polyketides,Aminosugars and aminoglycosides,Aminosugars,1
Polyketides,Aminosugars and aminoglycosides,Enediynes,1
Terpenoids,Fatty esters,Lactones,1
Terpenoids,Diterpenoids,Farnesane sesquiterpenoids,1
Polyketides,Meroterpenoids,Humulane sesquiterpenoids,1
Polyketides,Sesquiterpenoids,Humulane sesquiterpenoids,1
Terpenoids,Meroterpenoids,Humulane sesquiterpenoids,1
Alkaloids,Lysine alkaloids,Eudesmane sesquiterpenoids,1
Terpenoids,Lysine alkaloids,Eudesmane sesquiterpenoids,1
Terpenoids,Sesquiterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids",1
Terpenoids,Fatty esters,Tetracyclic diterpenoids,1
Terpenoids,Sesquiterpenoids,Branched fatty acids,1
Fatty acids,Fatty Acids and Conjugates,Hopane and Moretane triterpenoids,1
Fatty acids,Triterpenoids,Hopane and Moretane triterpenoids,1
Fatty acids,Triterpenoids,Unsaturated fatty acids,1
Terpenoids,Fatty Acids and Conjugates,Hopane and Moretane triterpenoids,1
Carbohydrates,Polyols,Polysaccharides,1
Terpenoids,Fatty Acids and Conjugates,Acyclic monoterpenoids,1
